ref,address,eircode,itm_e,itm_n,date_entered,valuation
"402","47 Whitestrand Road, Galway","H91 W97X","529005","724384","2019-04-24","475000"
"502","129 Castlepark, Ballybane, Galway","H91 A24W","533031","726806","2020-03-04","220000"
"326","39 Sandyview Drive, Riverside, Galway","H91 FN0C","531142","727039","2022-04-12","425000"
"515","127 College Road, Galway","","530895","726041","2023-01-27","300000"
"462","4 Castlepark, Ballybane, Galway","H91 YYN6","532923","726926","2023-01-27","240000"
"589","64 Monalee Manor","H91 H2KP","525265","724385","2024-07-17","220000"
"592","Sunset Lodge, Letteragh, Rahoon, Galway","H91 FDK6","527503","726071","2024-07-17","500000"
"582","14 Lower Newcastle, Galway","H91 EY8N","529074","725926","2024-10-30",""
"599","11 O'Flaharty Road, Shantalla, Galway","H91 V62R","528771","725387","2025-04-08","375000"
"732","Farmhouse at Ballindooley Cross","","531718","729662","2025-02-05",""
"690","5 Dock Road, The Docks","H91 X983","529841","724949","2025-01-31","400000"
"650","47 Dublin Road, Renmore","H91 FC3F","532276","725745","2025-02-12","300000"
"651","49 Dublin Road, Renmore","H91 Y7WP","532284","725742","2025-02-12","370000"
"652","51 Dublin Road, Renmore","H91 H28F","532302","725734","2025-02-12","390000"
"277","","","532483","725680","2025-02-12",""
"595","13 Glenard Avenue, Salthill","H91 PPF9","527496","724381","2025-02-18","750000"
"345","6 Newcastle Road, Galway","","529125","725260","2025-02-18","950000"
"606","","H91 DE7K","529819","724935","2025-03-05",""
"605","4 Dock Road","","529837","724944","2025-03-05","400000"
"610","","H91 C58E","525945","724418","2025-03-25","375000"
"734","Farmhouse at Ballindooley","","531557","729348","2025-03-25","245000"
"739","Prospect House, 8 Prospect Hill","H91 T2D3","530066","725507","2025-04-08",""
"584","4 Kingston Road","H91 TD8H","527313","724626","2025-04-15","750000"
"603","","","530044","725207","2025-04-28","600000"
"689","","H91 Y7R2","529807","724920","2025-04-28","850000"
"756","","H91 AW6X","529653","725467","2025-04-28",""
"783","","H91 XN26","528382","724068","2025-05-02","750000"
"784","","","528368","724098","2025-05-02","1000000"
"741","1 Lombard Street","H91 AX94","529674","725252","2025-05-08","1000000"
"623","30 Woodquay","H91 T6NH","529811","725550","2025-05-08","400000"
"745","St. Hellen's Flood Street","H91 F8PT","529722","724983","2025-05-08","950000"
"642","Spire House, 56 Shantalla Road","H91 PH6T","528529","725262","2025-05-14","1500000"
"780","17 New Dock Street","H91 V5DE","529813","724915","2025-05-16","2000000"
"752","","","528430","724475","2025-05-20","750000"
"585","20/05/2025","","527292","724708","2025-05-20","950000"
"60","","","530108","725879","2025-05-23","300000"
"281","","H91 KAX2","529100","725183","2025-05-23","400000"
"656","75 Shantalla Road","H91 WVX9","528744","725224","2025-05-23","400000"
"778","103 Bohermore","H91 HP2N","530251","725839","2025-05-23","350000"
"738","","H91 E6CH","527518","725157","2025-06-09","900000"
"766","","H91 X2PN","528491","726559","2025-07-01","490000"
"782","","H91 W2DP","528428","725310","2025-07-01",""
"844","","H91 AY9T","533455","726163","2025-07-08","260000"
"319","","H91 EY28","528081","723756","2025-07-10","1500000"
"593","","H91 NC2Y","526182","724475","2025-07-22","620000"
"760","","H91 YXH6","528986","725751","2025-07-25","3500000"
"637","52 Father Griffin Road","H91 KRH1","529099","724615","2025-05-23","675000"
"799","5/7/9 Abbeygate Street Upper","","529787","725308","2025-08-11","550000"
"184","11/08/2025","H91 X2PW","528067","723786","2025-08-11","750000"
"516","26 & 34 Nun's Island","","529469","725149","2025-08-11","1200000"
"715","","H91 AP6K","528464","724306","2025-08-11",""
"830","","H91 A0V5","529781","725219","2025-08-20",""
"785","Merlin Park Lane, Doughiska","","534475","725851","2025-09-10",""
"657","20 Prospect Hill","H91 X651","530082","725540","2025-09-10",""
"806","Warehouse at Victoria Place","","530090","725275","2025-09-10","1200000"
"790","9 Ocean Wave, Salthill","H91 DH6K","528682","724331","2025-09-22",""
"798","Finnegans, 1/2 Market Street","","529773","725319","2025-09-22","800000"
"804","Ashley Park, Lower Dangan","H91 R8RW","528181","727182","2025-10-07",""
"851","23 Eyre Square","H91 PV2A","529989","725353","2025-10-10",""
"849","7 An Sean Bhaile, Doughiska","H91 C6CH","534201","727045","2025-10-10",""
"777","","","531061","728447","2025-10-20",""
"625","34 St Mary's Magdelene Terrace, Forster Street","H91 F2PY","530345","725502","2025-10-24",""
"818","134 College Road","H91 D710","530981","726066","2025-10-24",""
"724","229 Castlepark, Ballybane","H91 HF5H","532985","726452","2025-10-28",""
"841","","H91 TH26","526481","723642","2025-10-31",""
"871","10 Eyre Street","H91 F6PN","529847","725518","2025-10-31",""
"791","1 Eyre Street, Woodquay","H91 EY17","529788","725483","2025-10-31",""
"866","2 William Street West","H91 AX5V","529348","724949","2025-11-05",""
"860","Avila House, Tuam Road","H91 XE9T","532204","727590","2025-11-05",""
"861","Glenanail House, Tuam Road","H91 NT2T","532209","727602","2025-11-05",""
"681","","","529841","725251","2025-12-08",""
"872","9 Eyre Street","H91 DH9D","529815","725490","2025-12-08",""
"883","70 Ashleigh Grove, Ballymoneen Road","H91 CC8D","525632","724391","2025-12-12",""
"855","Eglinton Court, Eglinton Street","H91 XF3X","529796","725461","2025-12-12",""
"735","66 Rockfield Park, Rahoon","H91 WCF5","527481","725453","2026-01-06",""
"823","22 Saint Bridgets Terrace","H91 D4RH","530094","725750","2026-01-07",""
"776","Colonial Buildings, Eglinton Street","H91 XWH3","529876","725388","2026-01-19",""
"863","Deely's Café, 6 Mainguard Street","H91 H2R9","529701","725156","2026-01-23",""
"927","Workshop on 4 Seamus Quirke Road","","528967","726072","2026-01-27",""
"903","14 Cashelmara, Knocknacarra","","526148","723929","2026-01-30",""
"817","134 Dun na Mara Drive, Renmore","H91 HC9P","531736","725391","2026-02-06",""
"821","10 Eglinton Street","H91 XP77","529861","725402","2026-02-09",""
"604","61 Newcastle Road","H91 K2X7","529152","725234","2026-02-09",""
"809","53 Shantalla Road","H91 NCN2","528608","725267","2026-02-16",""
"596","47 Gaelcarrig Park, Newcastle","H91 YF9X","528109","726047","2026-02-19",""
"878","Railway Cottage, Roscam (Rosshill)","H91 RYW1","535069","725204","2026-03-04",""
"686","Estelle, Tuam Road","H91 AV26","531460","726873","2026-03-11",""
"852","Commercial Unit at Oldenway Business Park","H91 12R3","532982","727069","2026-03-11",""
"838","1 High Street","H91 K5N5","529704","725097","2026-04-01",""
"624","5a Newtownsmith","","529697","725407","2026-04-10",""
"813","20 Merchants Road Lower","H91 E76T","529775","724949","2026-04-20",""
"814","19 & 19A Merchants Road Lower","","529772","724940","2026-04-20",""
"815","18 Merchants Road Lower","H91 E6EP","529770","724933","2026-04-20",""
"816","17 Merchants Road Lower","H91 WK6P","529767","724929","2026-04-20",""
"892","Eyre House, 21 Eyre Square","H91 R79C","530001","725340","2026-04-20",""
"659","118 Claremont Park","H91 YE0P","527667","725699","2026-04-22",""
"266","20 Water Lane, Bohermore","","530142","725901","2026-04-29",""
"909","Carnival Supermarket, 27 Eyre Street","H91 E4W6","529880","725510","2026-04-30",""
"900","Carraig Palmer, Quincentennial Drive","","528292","723922","2026-04-30",""
"935","2 Devon Park, Salthill","H91 ED1F","528467","724447","2026-05-08",""
"954","","","533715","728149","2026-05-18",""
"874","Merchants Gate, Merchants Road","","529923","725159","2026-05-20",""
"789","27 Forster Street","H91 E13C","530178","725461","2026-05-22",""
"928","","H91 ADF7","532467","728149","2026-05-25",""
"929","","H91 P2CK","532501","728172","2026-05-25",""
"895","As Good as New, Munster Avenue","H91XE82","529345","724916","2026-06-12",""
"912","52 Fána Búrca, Bóthar Dáileacháin an Iarthair","","525131","724886","2026-06-17",""
"803","Site behind 115/117 Upper Salthill","","528408","724060","2026-06-18",""
"905","Hardiman House, 5 Eyre Square","","530066","725461","2026-06-18",""
"925","Taylor's Bar, 7 Dominick Street Upper","H91 RP48","529405","724954","2026-06-22",""
