ref,address,date_entered,municipal_district
"DS-2010-B01","Bolgers, Ballitore","2011-01-31","Athy"
"DS-2007-K02","Mary Hickeys Sweet Shop, Church Street, Kilcock","2011-06-22","Clane - Maynooth"
"DS-2015-Naas13","Market House, Naas","2015-04-24","Naas"
"DS-2007-A01","Allenwood North, Naas","2015-07-15","Clane- Maynooth"
"DS-2007-N03","Old Band Hall, Cutlery Road, Newbridge","2016-02-12","Kildare - Newbridge"
"DS-2007-A27","30 Woodstock Street, Athy","2016-05-27","Athy"
"DS-2007-A28","31 Woodstock Street, Athy","2016-05-27","Athy"
"DS-2011-R04","Grove Lane, Robertstown","2017-02-06","Clane - Maynooth"
"DS-2016-Newbridge01","2198 Highfield Estate, Newbridge","2019-12-05","Kildare - Newbridge"
"DS-2010-A1","Barrack Lane, Athy","2019-12-05","Athy"
"DS-2013-A9","55 Dooleys Terrace, Athy","2020-10-07","Athy"
"DS-2016-Celbridge02","4 Abbeylane, Abbeyfarm, Celbridge","2021-11-02","Celbridge - Leixlip"
"DS-2018-02","Leinster Street, Rathangan","2021-11-04","Kildare - Newbridge"
"DS-2020-02","19 Emily Square, Athy","2021-11-04","Athy"
"DS-2019-01","Coolnaferagh, Passlands, Monasterevin","2022-01-26","Kildare - Newbridge"
"DS-2017-Celbridge01","Bungalow, Hazelhatch Road, Celbridge","2022-10-14","Celbridge - Leixlip"
"DS-2021-20","289 Clonaugh, Enfield","2023-01-11","Clane - Maynooth"
"DS-2015-Naas-10","3 Abbey Road, Naas","2023-03-28","Naas"
"DS-2021-08","Skirteen, Monasterevin, Co","2023-04-24","Kildare - Kildare Newbridge"
"DS-2020-27","St. Francis, Canal Harbour, Monasterevin","2023-04-28","Kildare - Newbridge"
"DS-2017-Kilcock01","Grange, Kilcock, Co Kildare","2023-04-28","Clane - Maynooth"
"DS-2022-27","Lions House Pub, Kilcock","2023-05-22","Clane - Maynooth"
"DS-2022-21","Blossom Hill House, Ballynakill, Broadford","2023-05-22","Clane - Maynooth"
"DS-2021-19","33 Main Street, Leixlip","2023-06-20","Celbridge - Leixlip"
"DS-2022-08","2 Abbey road, Naas","2023-06-20","Naas"
"DS-2023-16","Cutlery Road, Newbridge","2023-09-07","Kildare- Newbridge"
"DS-2020-Naas07","41 St. Corban’s Place, Naas","2023-09-07","Naas"
"DS-2022-11","Bargain Store, Kildare Town, Co. Kildare","2023-09-25","Kildare-Newbridge"
"DS-2023-06","1 & 2, Ralph Square, Leixlip","2023-09-25","Celbridge - Leixlip"
"DS-2023-18","Ralph Square, Leixlip ( Commercial Unit )","2023-09-15","Celbridge - Leixlip"
"DS-2018-Celbridge01","Property 1 at Hazelhatch Train Station, Celbridge","2023-09-25","Celbridge - Leixlip"
"DS-2018-Celbridge02","Property 2 at Hazelhatch Train Station, Celbridge","2023-09-25","Celbridge - Leixlip"
"DS-2018-Celbridge03","Property 3 at Hazelhatch Train Station, Celbridge","2023-09-25","Celbridge - Leixlip"
"DS-2023-07","Main Street, Kilcullen","2023-09-19","Kildare-Newbridge"
"DS-2024-02","19 Duke Street, Athy","2024-05-02","Athy"
"DS-2024-03","130 Lakelands, Naas","2024-05-02","Naas"
"DS-2024-04","7 Stanhope Street, Athy","2024-05-02","Athy"
"DS-2024-05","16/17 Leinster Street, Athy","2024-05-02","Athy"
"DS-2024-11","Coolereagh, Coill Dubh Co Kildare","2024-05-02","Naas"
"DS-2023-10","617 Castlesize, Sallins, Co Kildare","2024-05-08","Naas"
"DS-2023-28","Former Garda Station, Leinster Street, Rathangan, Co.Kildare","2024-08-08","Kildare-Newbridge"
"DS-2024-16","Hennessy Garage, Main Street, Castledermot","2024-08-09","Athy"
"DS-2023-23","Property at St. Michael's Convent, Stanhope Place, Athy, Co. Kildare","2024-08-12","Athy"
"DS-2023-21","Summerhill House & Stables, Blackrath, The Curragh, Co.Kildare","2024-08-12","Kildare-Newbridge"
"DS-2024-22","36 Leinster Street, Athy","2024-09-16","Athy"
"DS-2024-30","Clean Machine Laundrette, Shraud Road","2024-10-23","Kildare-Newbridge"
"DS-2024-32","Tattoo Parlour at Station Road, Kildare Town","2024-10-23","Kildare-Newbridge"
"DS-2024-27","Broom Cottage, Nursery Road, Allenwood South, Naas W91E51F","2024-11-14","Clane - Maynooth"
"DS-2024-29","Main Street, Sallins, Units 5,6,7,8,9","2024-12-17","Naas"
"DS-2015-N09","107 Monread Heights, Naas","2025-02-05","Naas"
"DS-2024-24","30 Duke Street, Athy","2025-02-17","Athy"
"DS-2024-35","Eyre Street, Newbridge","2025-05-28","Kildare-Newbridge"
"DS-2025-01","The Laurels, Kerdiffstown","2025-05-28","Naas"
"DS-2024-37","Former Grand Canal Hotel, Robertstown","2025-08-18","Clane-Maynooth"
"DS-2025-13","46 Duke Street, Barney’s Pub Athy","2025-09-09","Athy"
"DS-2023-26","Main Street, Castledermot","2025-09-09","Athy"
"DS-2025-18","3 Bride Street, Kildare Town","2025-09-29","Kildare-Newbridge"
"DS-2025-35","82 Hazelmere, Naas","2025-09-29","Naas"
"DS-2025-43","38 Curragh Plains, Kildare Town","2025-11-19","Kildare-Newbridge"
"DS-2025-38","Main Street, Castledermot","2026-01-23","Athy"
"DS-2024-06","4 Plewmans Terrace, Athy","2026-02-18","Athy"
"DS-2026-06","479 Skenagun, Castledermot","2026-03-19","Athy"
"DS-2025-23","Pine Vale, Killeenmore, Sallins, Naas","2026-03-20","Naas"
