ref,address,eircode,date_entered
"DS18","Clooncorrick, Carrigallen, Co. Leitrim","","1991-06-19"
"DS29","Corner of Old Church Street and Commons Lane, Manorhamilton, Co. Leitrim","","1991-06-19"
"DS30","Commons Lane, Manorhamilton, Co. Leitrim","","1991-06-19"
"DS45","Stranagross, Glenfarne, Co. Leitrim","","1991-06-25"
"DS60","Near Junction of N4 and County Road 657 - Jamestown, Co. Leitrim","","1994-12-14"
"DS62","Adjacent N16 near junction with County Road 144 Diffreen, Glencar, Co. Leitrim","","1991-09-17"
"DS67","Tarmon, Corglass, Co. Leitrim","","1991-07-11"
"DS72","Cornalaghta, Leckaun, Dromahair, Co. Leitrim (Fivemilebourne)","","2023-12-19"
"DS84","Corriscoffey, Dromod, Co. Leitrim","","1995-01-16"
"DS87","Clooncorrick, Carrigallen, Co. Leitrim","H12 HN79","1995-02-15"
"DS94","Chapel St, Drumshanbo, Co. Leitrim","","1995-01-16"
"DS99","Towneycorragh, Lough Allen PO, Co. Leitrim","","1995-01-16"
"DS109","Duncarbry, Tullaghan, Co. Leitrim","","1997-07-29"
"DS110","Duncarbry, Tullaghan, Co. Leitrim","","2023-12-20"
"DS116","Quay St., Drumsna, Co. Leitrim","N41 AH39","2023-12-19"
"DS121","Market Street, Dromahaire, Co. Leitrim","","2023-12-19"
"DS132","Main St., Drumshanbo, Co. Leitrim","N41 E640","2008-11-24"
"DS23/002","Tullylannon Td., Leitrim, Co. Leitrim","","2023-12-19"
"DS23/008","9 Cluain Oir,Lis Cara","N41 NX38","2023-12-19"
"DS23/009","11 Cluain Oir,Lis Cara","N41 FV44","2023-12-19"
"DS23/010","14 Cluain Oir,Lis Cara","N41 PW66","2023-12-19"
"DS23/012","Leitrim Road, Carrick on Shannon, Co. Leitrim","","2025-06-12"
"DS23/017","8 Cluain Oir, Lis Cara, Carrick on Shannon, Co. Leitrim","N41 D528","2023-12-19"
"DS23/018","Aghnahunshin, Roosky, Co. Leitrim","N41 EK03","2023-12-19"
